Rk,Player,HR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
1,Aaron Judge,58,2024,32,NYY,AL,158,704,559,122,180,85,36,1,58,144,10,0,133,171,.322,.458,.701,1.159,225,392,22,9,0,2,20,*8D/97,judgeaa01
2,Shohei Ohtani,54,2024,29,LAD,NL,159,731,636,134,197,98,38,7,54,130,59,4,81,162,.310,.390,.646,1.036,187,411,7,6,0,5,10,*D,ohtansh01
3,Anthony Santander,44,2024,29,BAL,AL,155,665,595,91,140,69,25,2,44,102,2,0,58,129,.235,.308,.506,.814,131,301,9,7,0,5,3,*9D/3H,santaan02
4,Juan Soto,41,2024,25,NYY,AL,157,713,576,128,166,90,31,4,41,109,7,4,129,119,.288,.419,.569,.989,179,328,10,4,0,4,2,*9/7DH,sotoju01
5,Marcell Ozuna,39,2024,33,ATL,NL,162,688,606,96,183,113,31,0,39,104,1,0,74,170,.302,.378,.546,.925,154,331,23,3,0,4,2,*D,ozunama01
6,José Ramírez,39,2024,31,CLE,AL,158,682,620,114,173,93,39,2,39,118,41,7,54,82,.279,.335,.537,.872,143,333,9,1,0,6,12,*5D,ramirjo01
7,Brent Rooker,39,2024,29,OAK,AL,145,614,546,82,160,93,26,2,39,112,11,3,59,177,.293,.365,.562,.927,165,307,5,5,0,4,4,*D/79H,rookebr01
8,Kyle Schwarber,38,2024,31,PHI,NL,150,692,573,110,142,82,22,0,38,104,5,3,106,197,.248,.366,.485,.851,134,278,6,5,0,8,4,*D/7H,schwaky01
9,Gunnar Henderson,37,2024,23,BAL,AL,159,719,630,118,177,102,31,7,37,92,21,4,78,159,.281,.364,.529,.893,155,333,2,7,0,4,1,*6/D,hendegu01
10,Ketel Marte,36,2024,30,ARI,NL,136,583,504,93,147,86,23,2,36,95,7,1,65,106,.292,.372,.560,.932,154,282,9,5,0,9,7,*4D/H6,marteke01
11,Yordan Alvarez,35,2024,27,HOU,AL,147,635,552,88,170,99,34,2,35,86,6,0,69,95,.308,.392,.567,.959,170,313,14,10,0,4,16,D7,alvaryo01
12,Pete Alonso,34,2024,29,NYM,NL,162,695,608,91,146,81,31,0,34,88,3,0,70,172,.240,.329,.459,.788,122,279,14,13,0,4,4,*3/DH,alonspe01
13,Cal Raleigh,34,2024,27,SEA,AL,153,628,546,73,120,70,16,0,34,100,6,1,70,176,.220,.312,.436,.748,118,238,7,6,0,6,4,*2D/H,raleica01
14,Teoscar Hernández,33,2024,31,LAD,NL,154,652,589,84,160,93,32,2,33,99,12,3,53,188,.272,.339,.501,.840,135,295,7,8,0,1,3,*79,hernate01
15,Francisco Lindor,33,2024,30,NYM,NL,152,689,618,107,169,96,39,1,33,91,29,4,56,127,.273,.344,.500,.844,137,309,7,12,0,3,0,*6/DH,lindofr01
16,Willy Adames,32,2024,28,MIL,NL,161,688,610,93,153,88,33,0,32,112,21,4,74,173,.251,.331,.462,.794,119,282,12,1,0,3,3,*6,adamewi01
17,Bobby Witt Jr.,32,2024,24,KCR,AL,161,709,636,125,211,123,45,11,32,109,31,12,57,106,.332,.389,.588,.977,174,374,4,8,0,8,9,*6/D,wittbo02
18,Josh Naylor,31,2024,27,CLE,AL,152,633,563,84,137,79,27,0,31,108,6,2,58,105,.243,.320,.456,.776,118,257,17,7,0,4,7,*3D/H,naylojo01
19,Tyler O'Neill,31,2024,29,BOS,AL,113,473,411,74,99,50,18,0,31,61,4,0,53,159,.241,.336,.511,.847,135,210,13,7,0,2,5,79D/H,oneilty01
20,Vladimir Guerrero Jr.,30,2024,25,TOR,AL,159,697,616,98,199,124,44,1,30,103,2,2,72,96,.323,.396,.544,.940,164,335,16,5,0,4,12,*3D5/H,guerrvl02
21,Bryce Harper,30,2024,31,PHI,NL,145,631,550,85,157,85,42,0,30,87,7,4,76,138,.285,.373,.525,.898,146,289,18,2,1,2,11,*3/D,harpebr03
22,Corey Seager,30,2024,30,TEX,AL,123,533,475,68,132,81,21,0,30,74,1,1,53,96,.278,.353,.512,.864,149,243,8,3,0,2,11,*6D/H,seageco01
23,Eugenio Suárez,30,2024,32,ARI,NL,158,640,571,90,146,86,28,2,30,101,2,1,49,176,.256,.319,.469,.788,115,268,10,9,0,11,0,*5/D,suareeu01
24,Jake Burger,29,2024,28,MIA,NL,137,579,535,68,134,81,23,1,29,76,1,1,31,150,.250,.301,.460,.760,107,246,11,9,0,4,2,35D/H,burgeja01
25,Shea Langeliers,29,2024,26,OAK,AL,137,534,482,58,108,59,18,2,29,80,4,2,41,145,.224,.288,.450,.739,111,217,15,5,0,6,2,*2/HD,langesh01
26,Manny Machado,29,2024,31,SDP,NL,152,643,593,77,163,104,30,0,29,105,11,2,45,124,.275,.325,.472,.797,120,280,25,1,0,4,6,5D/H,machama01
27,Matt Olson,29,2024,30,ATL,NL,162,685,600,78,148,81,37,1,29,98,0,0,71,170,.247,.333,.457,.790,118,274,15,9,0,5,5,*3,olsonma02
28,Rafael Devers,28,2024,27,BOS,AL,138,601,525,87,143,76,34,5,28,83,3,0,67,147,.272,.354,.516,.871,142,271,13,3,0,6,14,*5/D,deverra01
29,Matt Chapman,27,2024,31,SFG,NL,154,647,575,98,142,74,39,2,27,78,15,2,64,158,.247,.328,.463,.790,124,266,13,6,0,2,3,*5/H,chapmma01
30,Salvador Perez,27,2024,34,KCR,AL,158,652,590,58,160,105,28,0,27,104,0,0,44,129,.271,.330,.456,.786,122,269,17,11,0,6,9,23D/H,perezsa02
31,Giancarlo Stanton,27,2024,34,NYY,AL,114,459,417,49,97,50,20,0,27,72,0,0,38,143,.233,.298,.475,.773,116,198,17,2,0,2,2,*D/H,stantmi03
32,Mark Vientos,27,2024,24,NYM,NL,111,454,413,58,110,61,22,0,27,71,0,0,33,135,.266,.322,.516,.837,134,213,6,3,0,5,0,5/H3D,vientma01
33,Alex Bregman,26,2024,30,HOU,AL,145,634,581,79,151,93,30,2,26,75,3,1,44,86,.260,.315,.453,.768,116,263,13,5,0,4,1,*5/D,bregmal01
34,Rhys Hoskins,26,2024,31,MIL,NL,131,517,449,59,96,56,14,0,26,82,3,0,53,149,.214,.303,.419,.722,99,188,11,7,0,6,1,3D/H,hoskirh01
35,Ezequiel Tovar,26,2024,22,COL,NL,157,695,655,83,176,101,45,4,26,78,6,5,23,200,.269,.295,.469,.763,100,307,16,4,5,7,1,*6,tovarez01
36,Christian Walker,26,2024,33,ARI,NL,130,552,479,72,120,68,26,0,26,84,2,2,55,133,.251,.335,.468,.803,120,224,12,10,0,8,4,*3/H,walkech02
37,Elly De La Cruz,25,2024,22,CIN,NL,160,696,618,105,160,89,36,10,25,76,67,16,69,218,.259,.339,.471,.809,119,291,12,6,2,1,2,*6/H,delacel01
38,Adolis García,25,2024,31,TEX,AL,154,637,580,68,130,78,27,0,25,85,11,5,45,177,.224,.284,.400,.684,98,232,12,6,0,6,2,*9D/H,garciad02
39,Ian Happ,25,2024,29,CHC,NL,153,657,569,89,138,77,34,2,25,86,13,2,80,168,.243,.341,.441,.782,120,251,7,6,0,2,1,*7/DH,happia01
40,Michael Toglia,25,2024,25,COL,NL,116,458,399,62,87,45,14,3,25,55,10,1,54,147,.218,.311,.456,.767,102,182,7,1,0,3,2,39/7,toglimi01
41,Taylor Ward,25,2024,30,LAA,AL,156,663,585,73,144,91,26,2,25,75,6,4,63,163,.246,.323,.426,.748,110,249,11,7,0,8,0,*7D,wardta01
